sticker_id,title,file_url,thumbnail_url,tags,emotions,category,language,has_text,is_animated,content_type,file_format,source,source_page_url,nsfw_score,game_usability,status,scraped_at,fingerprint
d9c6b165-505d-41de-a627-f7466723d6c8,thumbnail,https://cdn2.cdnstep.com/zcikJ4knk8hms9bXGYHJ/3-1.thumb128.webp,https://cdn2.cdnstep.com/zcikJ4knk8hms9bXGYHJ/3-1.thumb128.webp,thumbnail,,reactions,none,False,False,image,webp,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:58:45.620766+00:00,58dcd6ccf7daee7aab163e940f4044bfbfe7661b87b30d5c3a9a92a1083f9eaf
f5b3e862-3916-438c-8ce7-00014a428600,thumbnail,https://cdn2.cdnstep.com/zcikJ4knk8hms9bXGYHJ/4-1.thumb128.webp,https://cdn2.cdnstep.com/zcikJ4knk8hms9bXGYHJ/4-1.thumb128.webp,thumbnail,,reactions,none,False,False,image,webp,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:58:53.777758+00:00,fb11ab9506ec72fbf7b066a863baff8dd27cf009b7f6c03b816733f2e90a2b82
1e04864e-3721-4677-b689-eef726e717ab,cover,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/cover-2.thumb128.png,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/cover-2.thumb128.png,cover,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:01.898615+00:00,f565720e4feae6bb6dd538dbe66c7f975419ee8c7b884f1564fa807c173f811b
7dea939f-11fe-41c1-9d45-66905c7042cc,thumbnail,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/1-6.thumb128.png,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/1-6.thumb128.png,thumbnail,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:10.008173+00:00,63f15a80d1a0b9fb442343b282b7593f21cfdb1253fc2638d4e82278f12205e0
a6f8ee69-67d9-45ae-a7da-564bf93904f5,thumbnail,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/2-1.thumb128.png,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/2-1.thumb128.png,thumbnail,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:18.157446+00:00,bb435ec1175f3660238a9c917843c85de0e585994656749cbc410df7fc0c1d39
8d776a41-9313-44a4-8c13-3abbefb39759,thumbnail,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/3-3.thumb128.png,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/3-3.thumb128.png,thumbnail,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:26.303688+00:00,18a150b41cd4fedad932f83981b6df332a61d022956ea9ef0a85d70cad68d942
8a5bfc0e-6ab1-433e-a1a3-7f95445e25fb,thumbnail,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/4-1.thumb128.png,https://cdn2.cdnstep.com/LBDcxaKjTaLax5FZuJpu/4-1.thumb128.png,thumbnail,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:34.424962+00:00,ab87a340a50ccc3e4463f431d165afb86102ab08414815957f8d32ed91e2d15f
db90c001-9284-418e-9d3a-fb72b52677dd,cover,https://cdn2.cdnstep.com/ITW3kylZpHIWwOkUKdNQ/cover.thumb128.png,https://cdn2.cdnstep.com/ITW3kylZpHIWwOkUKdNQ/cover.thumb128.png,cover,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:42.504968+00:00,9d4bcc551ee200410eba002dffa0108ccc7a244c1baf4ec870148b2525b8a9e6
fc624432-f7c7-41a8-9bc1-8a800af909b7,thumbnail,https://cdn2.cdnstep.com/ITW3kylZpHIWwOkUKdNQ/1.thumb128.png,https://cdn2.cdnstep.com/ITW3kylZpHIWwOkUKdNQ/1.thumb128.png,thumbnail,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:50.639054+00:00,402417a77b82b9c519966c1cfe667f671d6f468dd6cd421927b697a14657ee1e
5a2ddc28-82eb-4ea8-b321-114476e739df,thumbnail,https://cdn2.cdnstep.com/ITW3kylZpHIWwOkUKdNQ/2.thumb128.png,https://cdn2.cdnstep.com/ITW3kylZpHIWwOkUKdNQ/2.thumb128.png,thumbnail,,reactions,none,False,False,image,png,generic,https://www.sigstick.com/pack/xbOMgxBakKhd7SHeQ8FZ-hindi-stickers,0,5,approved,2026-05-11T15:59:58.767315+00:00,8a416f87f85bc6898509ce3ff5e74cbcc794f5458dc4e37d19e8823cf1a3662a
