pack_id,share_url,sha,file_name,full_url
MIYWL8,https://sticker.ly/s/MIYWL8,d6187f50-a7f5-4baf-b10f-ab950d16c91d,d6187f50-a7f5-4baf-b10f-ab950d16c91d.png,https://stickerly.pstatic.net/sticker_pack/13279e882d3a25af/MIYWL8/2/d6187f50-a7f5-4baf-b10f-ab950d16c91d.png
MIYWL8,https://sticker.ly/s/MIYWL8,d6d53f47-47d8-43a0-b9fa-5f5f68bbfb0c,d6d53f47-47d8-43a0-b9fa-5f5f68bbfb0c.png,https://stickerly.pstatic.net/sticker_pack/13279e882d3a25af/MIYWL8/2/d6d53f47-47d8-43a0-b9fa-5f5f68bbfb0c.png
MIYWL8,https://sticker.ly/s/MIYWL8,e698b79e-c26d-46e6-be65-9b439716d966,e698b79e-c26d-46e6-be65-9b439716d966.png,https://stickerly.pstatic.net/sticker_pack/13279e882d3a25af/MIYWL8/2/e698b79e-c26d-46e6-be65-9b439716d966.png
MIYWL8,https://sticker.ly/s/MIYWL8,ebd0f1d0-9d55-4423-99b4-1d2dc6c43e95,ebd0f1d0-9d55-4423-99b4-1d2dc6c43e95.png,https://stickerly.pstatic.net/sticker_pack/13279e882d3a25af/MIYWL8/2/ebd0f1d0-9d55-4423-99b4-1d2dc6c43e95.png
MIYWL8,https://sticker.ly/s/MIYWL8,f61a0942-901d-4e2f-b8ec-756417c8d0a6,f61a0942-901d-4e2f-b8ec-756417c8d0a6.png,https://stickerly.pstatic.net/sticker_pack/13279e882d3a25af/MIYWL8/2/f61a0942-901d-4e2f-b8ec-756417c8d0a6.png
MIYWL8,https://sticker.ly/s/MIYWL8,f8c142a1-49e8-478b-81f1-7d4f02c6bf5c,f8c142a1-49e8-478b-81f1-7d4f02c6bf5c.png,https://stickerly.pstatic.net/sticker_pack/13279e882d3a25af/MIYWL8/2/f8c142a1-49e8-478b-81f1-7d4f02c6bf5c.png
YXTE5D,https://sticker.ly/s/YXTE5D,698ea4ba-7ece-4a69-b695-bbb03b167477,698ea4ba-7ece-4a69-b695-bbb03b167477.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/698ea4ba-7ece-4a69-b695-bbb03b167477.png
YXTE5D,https://sticker.ly/s/YXTE5D,0b72fddc-84b8-4f72-a8e6-22de5d7d0edd,0b72fddc-84b8-4f72-a8e6-22de5d7d0edd.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/0b72fddc-84b8-4f72-a8e6-22de5d7d0edd.png
YXTE5D,https://sticker.ly/s/YXTE5D,55cd2212-d24b-4663-a654-b07ae732031c,55cd2212-d24b-4663-a654-b07ae732031c.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/55cd2212-d24b-4663-a654-b07ae732031c.png
YXTE5D,https://sticker.ly/s/YXTE5D,2808371a-f6e6-4508-ad88-9134bc73e150,2808371a-f6e6-4508-ad88-9134bc73e150.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/2808371a-f6e6-4508-ad88-9134bc73e150.png
YXTE5D,https://sticker.ly/s/YXTE5D,f7efac02-71d3-4ded-aee2-33083c9ecdab,f7efac02-71d3-4ded-aee2-33083c9ecdab.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/f7efac02-71d3-4ded-aee2-33083c9ecdab.png
YXTE5D,https://sticker.ly/s/YXTE5D,645ec10c-a2f4-4b03-9b93-b4da0f52acb1,645ec10c-a2f4-4b03-9b93-b4da0f52acb1.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/645ec10c-a2f4-4b03-9b93-b4da0f52acb1.png
